1e-06,2.00708382736664e+22,5505165863.06766,428546873477.804
0.0001,6.91657185863113e+22,5505165862.46687,428280469867.969
0.01,7.12811597140755e+21,5505165860.71468,403214834692.871
1,2.71064047504594e+22,5505165861.0939,58841001249.8492
100,1.04905159624343e+22,5505166174.69453,681029651.015726
10000,4.35575727922393e+22,5505828554.54281,6878979.10444245
1000000,1.36255061427409e+16,5487305131.92948,1677348.58066438
100000000,51791280730475.2,93075396882.4919,136608915.665369
10000000000,515831818303.756,15406764333591.6,23278574086.7663
1000000000000,5090103887127.77,2.52954219227976e+16,38539076228412.6
100000000000000,502579807.349028,6728065808695.35,10102806691.6757
