1e-06,1.06843148942565e+23,5505165861.49578,1904709103.17626,5.44068940677498e+18,9.05132934095375e-11,1.95541411585022e-12,5.79458378727687e+26,7.09444570104296e-13,4.12100512583471e-16
0.0001,1.61182523566499e+22,5505165861.55317,1903525085.32279,4.50259507922698e+41,4.47758481163218e-11,1.84244650951086e-12,4.28929538469953e+47,9.84335053559686e-13,3.5616545787532e-16
0.01,5.01296040855468e+22,5505165861.63479,1792122207.74687,5.85545367369445e+62,9.13604248764553e-11,1.59796102868324e-12,1.12584752439159e+67,8.12737626394521e-13,3.51329956041451e-16
1,2.58725630841274e+22,5505167147.59721,261571171.93988,3.33606161956054e+38,9.93165433714896e-11,1.42174762531407e-12,8.01917251907776e+40,5.35020862414286e-13,3.5955658284027e-16
100,3.88679925494841e+22,5507614538.64745,3087998.20029356,1.5025372637888e+35,6.3202818951416e-11,1.84238758547015e-12,3.58331904897402e+35,7.25137805874971e-13,1.46277729082426e-15
10000,7.16355425704245e+17,6025553980.23514,3253089.79760839,2.23233729479592e-15,1.41768143764705e-10,1.40277796355726e-10,2.80523106527539e-13,5.28477369837762e-14,1.10223161742185e-14
1000000,5.16737843819256e+15,204901282966.746,306578873.394212,6.32077158913382e-16,1.388521009488e-08,1.38852172506677e-08,2.7908791377026e-13,1.11010515496044e-14,1.10805236183967e-14
100000000,51581267213767.5,20843913763932.5,31478914980.6289,6.3236885518303e-16,1.39556372559416e-06,1.3955637255718e-06,2.79087623698289e-13,1.09916045496994e-14,1.09916021767712e-14
10000000000,516528317811.042,1.31617999692704e+15,2019888065595.85,6.45517957325441e-16,9.41552671947547e-05,9.41552671944837e-05,4.23662884806224e-13,6.58847943292113e-13,6.5884794329406e-13
1000000000000,52282544863.135,700313471304798,1048499765015.48,6.03122659917885e-16,0.00700876195260272,0.00700876195260852,2.79059334748029e-13,1.4030601466959e-13,1.4030601467033e-13
100000000000000,502133726.311855,6722038155888.42,7765043089.03308,6.07336360149347e-16,0.690277296602981,0.690277296606189,2.77976093398079e-13,1.40257583520565e-13,1.40257583519288e-13
